Ime stranke ,E-naslov,Skraj. ime. str. ,Kratica ,Sedež ,Naslov sedeža ,Zastopnik
LTD - Lista za vse generacije,anze.korosec@siol.net,LTD - Za vse generacije,LTD,"Domžale, Domžale",Ljubljanska cesta 58,Deželak Boštjan
Gibanje Aktivna mladina Slovenije,"
aktivna@proton.me",Aktivna mladina Slovenije,GAMSi,"Domžale, Nožice",Gostičeva cesta 85A,Ive Matej
LISTA RENATE KOSEC - lista povezovanja in sodelovanja,,LISTA RENATE KOSEC,lrk,"Domžale, Domžale",Ulica Matije Tomca 2,Kosec Renata
"Zveza list lokalnih skupnosti, Skupnost",gradimo@skupnost.org,Skupnost,,"Idrija, Idrija",Kacinova ulica 12,Primožič Rok
SLOGA,,,,"Kočevje, Kočevje",Trg zbora odposlancev 64,Veber Janko
Stranka Naša Prihodnost,info@strankanasaprihodnost.si,Naša prihodnost,SNP,"Kočevje, Kočevje",Rudarsko naselje 10,Gale Ivan
Skupaj za mengeško občino - skupaj zmoremo več,kontaktirajSMO@gmail.com,Skupaj za mengeško občino,SMO,"Mengeš, Mengeš",Jelovškova ulica 15,Gubanc Peter
Zelena Dežela - ZaDa,info@zelenadezela2020.si,ZELENA DEŽELA,ZaDa,"Moravče, Drtija",Drtija 4A,Žučko Vida
Neodvisna stranka Pomurja,korpic.joze@siol.net,,NSP,"Murska Sobota, Murska Sobota",Slomškova ulica 1,Korpič Jože
Zveza za Primorsko-ZZP,info@zvezazaprimorsko.si,Zveza za Primorsko,ZZP,"Nova Gorica, Nova Gorica",Erjavčeva ulica 4,Škrlj Zoran
Neodvisna lista ZARJA,,"""ZARJA""",NLZ,"Sežana, Sežana",Kosovelova ulica 4B,Škrlj Majda
Komunalno ekološka lista,rolandokrajnik@siol.net,Ekološka lista,KEL,"Škofja Loka, Gorenja vas - Reteče",Gorenja vas - Reteče 82,Krajnik Rolando
DROT - za razvoj,info@drot.org,DROT,,"Trebnje, Trebnje",Gubčeva cesta 28,Smuk Špela
Zagorje gre naprej - Združenje za napredek Zasavja,info@zagorjegrenaprej.si,Zagorje gre naprej,ZGN,"Zagorje ob Savi, Zagorje ob Savi",Marnova ulica 31A,Švagan Matjaž
VESNA - zelena stranka,info@vesnazelenastranka.si,VESNA,,"Zagorje ob Savi, Ravenska vas",Ravenska vas 38,Fras Gregor
Povezane lokalne skupnosti,info@stranka-pls.si,,PLS,"Kranj, Kranj",Ulica Mirka Vadnova 8,Zaletelj Peter
Stranka za napredek krajevnih skupnosti,,,SZNKS,"Kranj, Kranj",Slovenski trg 3,Bilbija Tatjana
Več za Kranj,info@veczakranj.si,,VZK,"Kranj, Kranj",Maistrov trg 11,Vehovec Boris
Državljansko gibanje Resni.ca,pr@stranka-resnica.si,Resni.ca,,"Kranj, Kranj",Koroška cesta 2,Stevanović Zoran
Slovenska nacionalna stranka,info@sns.si,,SNS,"Ljubljana, Ljubljana",Bleiweisova cesta 13,Jelinčič Plemeniti Zmago
Slovenska demokratska stranka,tajnistvo@sds.si,Slovenski demokrati,SDS,"Ljubljana, Ljubljana",Trstenjakova ulica 8,Janša Ivan
Stranka slovenskega naroda,vodstvo@ssn.si,Slovenski narod,SSN,"Ljubljana, Ljubljana",Zarnikova ulica 19,Jarc Mihael
Socialni demokrati,info@socialnidemokrati.si,,SD,"Ljubljana, Ljubljana",Nazorjeva ulica 6,Živković Živa
Liberalna demokracija Slovenije,info@lds.si,,LDS,"Ljubljana, Ljubljana",Dunajska cesta 5,Vouk Železnik Jadranka
Stranka enakopravnih dežel,strankaenakopravnihdezel@gmail.com,Enakopravni deželani,SED,"Ljubljana, Ljubljana",Levstikov trg 8,Svetek Blaž
Krščansko-socialna unija,,Krščanski socialisti,KSU,"Ljubljana, Ljubljana",Kajuhova ulica 4,Rutar Jožef
Naprej Slovenija,naprejslovenija1@gmail.com,NPS,NPS,"Ljubljana, Ljubljana",Badjurova ulica 3,Svetek Blaž
Slovenska ljudska stranka,sls@sls.si,,SLS,"Ljubljana, Ljubljana",Gospodinjska ulica 8,Bregant Tina
Nova Slovenija - krščanski demokrati,tajnistvo@nsi.si,Nova Slovenija,NSi,"Ljubljana, Ljubljana",Dvorakova ulica 11A,Vrtovec Jernej
Nova socialdemokracija,info@nsd.si,,NS,"Ljubljana, Ljubljana",Mihov štradon 13,Magajna Andrej
Piratska stranka Slovenije,info@piratskastranka.si,Pirati,,"Ljubljana, Ljubljana",Hacquetova ulica 8,Feratović Jasmin
"Solidarnost, za pravično družbo",stik@solidarnost.si,Solidarnost,,"Ljubljana, Ljubljana",Einspielerjeva ulica 6,Hribar Darko
Glas za otroke in družine,info@glaszaotrokeindruzine.si,ZA OTROKE!,,"Ljubljana, Ljubljana",Malejeva ulica 3,Primc Aleš
Levica,info@levica.si,,,"Ljubljana, Ljubljana",Prešernova cesta 3,Vrečko Asta
Gibanje Skupaj Naprej ,gibanjeskupajnaprej@gmail.com,SkupajNaprej,GSN,"Ljubljana, Ljubljana",Palmejeva ulica 4,Bešič Loredan Danijel
Za zdravo družbo brez obveznega cepljenja in digitalnega totalitarizma Agende 2030,mismo@zdravadruzba.si,Za zdravo družbo,ZD,"Ljubljana, Ljubljana",Martina Krpana ulica 28,Pogačnik Jure
Gibanje SVOBODA,info@gibanjesvoboda.si,SVOBODA,,"Ljubljana, Ljubljana",Ameriška ulica 8,Golob Robert
Lista šport za zdravje,info@sportzazdravje.si,Šport za zdravje,LŠZZ,"Ljubljana, Ljubljana",Slovenska cesta 54,Kristan Klemen
Glas upokojencev Pavla Ruparja,glas.upokojencev@gmail.com,Glas upokojencev,,"Ljubljana, Ljubljana",Prešernova cesta 5,Rupar Pavel
Stranka NIČ OD TEGA,stranka.not@gmail.com,NIČ OD TEGA,NOT,"Ljubljana, Ljubljana",Komenskega ulica 14,Žulj Borislav
Demokrati.,pisarna@demokrati.si,,D.,"Ljubljana, Ljubljana",Kamniška ulica 47,Logar Anže
KARL ERJAVEC stranka ZAUPANJE,info@zaupanje.eu,ZAUPANJE,SZ,"Ljubljana, Ljubljana",Dunajska cesta 7,Erjavec Karl Viktor
FOKUS Marka Lotriča,fokus@fokus.center,FOKUS,,"Ljubljana, Ljubljana",Pri borštu 2,Lotrič Marko
SG Stranka generacij,tajnistvo@strankageneracij.si,,SG,"Ljubljana, Ljubljana",Tržaška cesta 134,Vovk Petrovski Gregor
Prerod - Stranka Vladimirja Prebiliča,info@prerod.si,Prerod,PVP,"Ljubljana, Ljubljana",Šubičeva ulica 3,Prebilič Vladimir
"Mi, socialisti!",info@misocialisti.si,,,"Ljubljana, Ljubljana",Prešernova cesta 3,Kordiš Miha
Lista novinarja Bojana Požarja,lista.za-maribor@siol.net,,LNBP,"Maribor, Maribor",Miklošičeva ulica 6,Požar Bojan
Stranka mladih - zeleni Evrope,info@sms.si,SMS - ZELENI,SMS,"Maribor, Maribor",Prvomajska ulica 9,Jurišič Igor
Lista za pravičen razvoj mestnih četrti in krajevnih skupnosti,info@lpr.si,Lista za razvoj MČ in KS,LPR,"Maribor, Maribor",Loška ulica 13,Auer Stojan
Stranka Medgeneracijske Solidarnosti in Razvoja,borut.ambrozic@triera.net,Medgeneracijska stranka,smsr,"Maribor, Maribor",Gregorčičeva ulica 24,Ambrožič Borut
Gibanje Zedinjena Slovenija,predsedstvo@zedinjenaslovenija.si,Zedinjena Slovenija,ZSi,"Maribor, Maribor",Miklavška ulica 26,Šiško Andrej
Stranka Aleksandra Kamenika,info@stranka-sak.si,,SAK,"Maribor, Maribor",Prisojna ulica 17,Peklar Štefanija
Lista kolesarjev in pešcev,kolesarjiinpesci@gmail.com,,LKP,"Maribor, Maribor",Partizanska cesta 21,Rotar Josip
Lista mladih. Povezujemo,,Mladi.,LmP,"Maribor, Maribor",Taborska ulica 2,Matjašič Matic
NAŠA DEŽELA stranka dr. ALEKSANDRE PIVEC,info@nasadezela.si,NAŠA DEŽELA,ND,"Maribor, Maribor",Partizanska cesta 5,Pivec Aleksandra
Suvereni,info@suvereni.si,,S.,"Maribor, Maribor",Cafova ulica 5,Kaloh Dejan
Zeleni Slovenije,zeleni@zeleni.si,Zeleni,,"Ptuj, Ptuj",Mestni trg 4,Čuš Andrej
Za ljudstvo Slovenije,info@zaljudstvoslovenije.si,,ZLS,"Ptuj, Ptuj",Volkmerjeva cesta 28,Loboda Borut
Zveza za napredek Radeč in radeškega območja,zoran.culk@gmail.com,Zveza,ZA-R,"Radeče, Radeče",V gaju 15,Čulk Zoran
"Lista zate, za vse",lista.zate.zavse@gmail.com,,LZV,"Trbovlje, Trbovlje",Ulica Sallaumines 3,Skok Tilen
Lista Mateja Slaparja,info.zakamnik@gmail.com,Lista MS,,"Kamnik, Kamnik",Vegova ulica 4,Slapar Matej
Socialistična partija Slovenije,,,SPS,"Kamnik, Kamnik",Ulica Jakoba Zupana 7,Trček Tadej
Lista Dušana Papeža,info@ldp.si,,LDP,"Kamnik, Podjelše",Podjelše 2,Poljanšek Mateja
Stranka za delovna mesta,info@zdm.si,Za delovna mesta,ZDM,"Celje, Celje",Linhartova ulica 22,Koprivc Tomaž
Celjska županova lista Slovenije,info@czl.si,Celjska županova lista,cžl,"Celje, Celje",Cankarjeva ulica 1,Šrot Bojan
Celjska neodvisna lista,info@grafika-gracer.si,,CNL,"Celje, Celje",Lava 7B,Gracer Miran
Lista Za Celje,zacelje@gmail.com,Za Celje,LZC,"Celje, Celje",Glavni trg 7,Sendelbah Sandi
Naše Velenje,nase.velenje@gmail.com,,NV,"Velenje, Velenje",Cankarjeva cesta 2A,Hribar Jože
"REŠITEV - Stranka upokojencev Velenje, Slovenija",,REŠITEV,,"Velenje, Velenje",Kidričeva cesta 57,Pijuković Faruk
Stranka Zlata Slovenija,tajnisto@zlata-slovenija.si,,,,,
